ds,actual,predicted,error,error_pct
2025-03-01,3666659.6,3522908.764265015,143750.8357349853,3.92
2025-04-01,3934192.21,3691770.113609432,242422.0963905682,6.16
2025-05-01,4332790.85,4102127.860989373,230662.98901062645,5.32
2025-06-01,4630396.46,4134791.579497585,495604.8805024149,10.7
2025-07-01,4356135.47,3995008.4273886704,361127.04261132935,8.29
2025-08-01,4106481.5,3814558.0690601803,291923.43093981966,7.11
2025-09-01,3988896.05,3496262.498101621,492633.5518983789,12.35
2025-10-01,4843745.53,3959787.8011361226,883957.7288638777,18.25
2025-11-01,6831921.09,5885350.892827161,946570.1971728392,13.86
2025-12-01,6281417.82,5176488.736871236,1104929.0831287643,17.59
2026-01-01,3518712.13,3412997.9733285955,105714.15667140437,3.0
2026-02-01,3437969.93,3651173.0053179883,-213203.07531798817,-6.2
